Device Type,SN,Parent Device,date,Production(kWh),Grid Feed-in(kWh),Consumption(kWh),Electricity Purchasing(kWh),Charging Capacity(kWh),Discharging Capacity(kWh),Generator Power Generation(kWh)
Inverter,2407126799,2980079880,2024-11-01,0.0,0.0,15.4,16.1,0.7,0.0,0
Inverter,2407126799,2980079880,2024-11-02,0.0,0.0,15.7,16.4,0.7,0.0,0
Inverter,2407126799,2980079880,2024-11-03,0.0,0.0,12.2,12.9,0.7,0.0,0
Inverter,2407126799,2980079880,2024-11-04,0.0,0.0,25.1,25.8,0.7,0.0,0
Inverter,2407126799,2980079880,2024-11-05,0.0,0.0,19.0,19.7,0.7,0.0,0
Inverter,2407126799,2980079880,2024-11-06,0.0,0.0,18.2,18.9,0.7,0.0,0
Inverter,2407126799,2980079880,2024-11-07,0.7,0.0,19.2,19.3,1.5,0.7,0
Inverter,2407126799,2980079880,2024-11-08,1.1,0.0,12.8,12.7,4.8,3.8,0
Inverter,2407126799,2980079880,2024-11-09,1.0,0.0,16.6,16.6,4.8,3.8,0
Inverter,2407126799,2980079880,2024-11-10,2.8,0.0,13.0,11.0,2.8,2.0,0
Inverter,2407126799,2980079880,2024-11-11,2.1,0.0,19.2,18.0,4.8,3.9,0
Inverter,2407126799,2980079880,2024-11-12,0.4,0.0,20.2,20.7,4.9,4.0,0
Inverter,2407126799,2980079880,2024-11-13,0.9,0.0,13.7,13.7,4.4,3.5,0
Inverter,2407126799,2980079880,2024-11-14,0.1,0.0,18.1,18.9,4.8,3.9,0
Inverter,2407126799,2980079880,2024-11-15,4.6,1.0,18.1,15.4,3.9,3.0,0
Inverter,2407126799,2980079880,2024-11-16,4.9,2.9,12.4,11.2,1.5,0.7,0
Inverter,2407126799,2980079880,2024-11-17,6.1,2.8,12.0,9.4,1.0,0.3,0
Inverter,2407126799,2980079880,2024-11-18,7.5,3.2,17.3,13.8,3.1,2.3,0
Inverter,2407126799,2980079880,2024-11-19,5.8,2.8,19.3,17.3,5.1,4.1,0
Inverter,2407126799,2980079880,2024-11-20,1.0,0.0,17.8,17.7,4.6,3.7,0
Inverter,2407126799,2980079880,2024-11-21,2.9,0.8,14.6,13.4,2.8,1.9,0
Inverter,2407126799,2980079880,2024-11-22,1.0,0.0,13.9,13.8,3.1,2.2,0
Inverter,2407126799,2980079880,2024-11-23,0.3,0.0,14.7,15.4,5.5,4.5,0
Inverter,2407126799,2980079880,2024-11-24,3.7,0.4,14.8,12.2,1.2,0.5,0
Inverter,2407126799,2980079880,2024-11-25,4.7,2.0,18.1,16.1,0.7,0.0,0
Inverter,2407126799,2980079880,2024-11-26,5.4,1.3,11.5,8.1,1.4,0.7,0
Inverter,2407126799,2980079880,2024-11-27,2.6,0.0,16.9,15.2,3.0,2.1,0
Inverter,2407126799,2980079880,2024-11-28,2.4,0.1,12.0,10.2,2.3,1.8,0
Inverter,2407126799,2980079880,2024-11-29,1.2,0.0,11.5,11.7,5.0,3.6,0
Inverter,2407126799,2980079880,2024-11-30,1.0,0.0,15.9,15.7,1.3,0.5,0
Inverter,2407126799,2980079880,2024-12-01,2.9,0.7,12.1,10.7,0.8,0.0,0
Inverter,2407126799,2980079880,2024-12-02,1.4,0.0,16.7,16.2,2.1,1.2,0
Inverter,2407126799,2980079880,2024-12-03,1.5,0.0,15.5,14.8,2.4,1.6,0
