temperature_2m,cloud_cover,shortwave_radiation,timestamp
12.4,0,0.0,2025-04-29 00:00:00+00:00
11.7,0,0.0,2025-04-29 01:00:00+00:00
11.0,0,0.0,2025-04-29 02:00:00+00:00
10.7,0,0.0,2025-04-29 03:00:00+00:00
9.7,0,0.0,2025-04-29 04:00:00+00:00
8.5,0,0.0,2025-04-29 05:00:00+00:00
7.7,0,0.0,2025-04-29 06:00:00+00:00
8.3,0,33.0,2025-04-29 07:00:00+00:00
10.8,4,161.0,2025-04-29 08:00:00+00:00
13.3,0,325.0,2025-04-29 09:00:00+00:00
15.7,0,489.0,2025-04-29 10:00:00+00:00
17.3,73,632.0,2025-04-29 11:00:00+00:00
19.1,84,736.0,2025-04-29 12:00:00+00:00
19.9,69,796.0,2025-04-29 13:00:00+00:00
20.6,82,814.0,2025-04-29 14:00:00+00:00
20.9,97,781.0,2025-04-29 15:00:00+00:00
21.0,100,684.0,2025-04-29 16:00:00+00:00
20.5,100,499.0,2025-04-29 17:00:00+00:00
20.0,100,335.0,2025-04-29 18:00:00+00:00
19.3,100,178.0,2025-04-29 19:00:00+00:00
18.5,100,84.0,2025-04-29 20:00:00+00:00
17.8,100,9.0,2025-04-29 21:00:00+00:00
17.2,100,0.0,2025-04-29 22:00:00+00:00
16.4,100,0.0,2025-04-29 23:00:00+00:00
15.5,100,0.0,2025-04-30 00:00:00+00:00
14.7,100,0.0,2025-04-30 01:00:00+00:00
13.8,100,0.0,2025-04-30 02:00:00+00:00
12.7,100,0.0,2025-04-30 03:00:00+00:00
12.4,100,0.0,2025-04-30 04:00:00+00:00
12.9,100,0.0,2025-04-30 05:00:00+00:00
12.0,100,0.0,2025-04-30 06:00:00+00:00
12.1,100,3.0,2025-04-30 07:00:00+00:00
12.7,100,60.0,2025-04-30 08:00:00+00:00
13.1,100,70.0,2025-04-30 09:00:00+00:00
14.9,73,325.0,2025-04-30 10:00:00+00:00
17.1,85,619.0,2025-04-30 11:00:00+00:00
18.2,30,550.0,2025-04-30 12:00:00+00:00
18.8,100,520.0,2025-04-30 13:00:00+00:00
20.1,29,620.0,2025-04-30 14:00:00+00:00
20.9,28,721.0,2025-04-30 15:00:00+00:00
21.2,100,654.0,2025-04-30 16:00:00+00:00
21.1,99,505.0,2025-04-30 17:00:00+00:00
20.9,55,403.0,2025-04-30 18:00:00+00:00
20.3,88,267.0,2025-04-30 19:00:00+00:00
19.4,44,120.0,2025-04-30 20:00:00+00:00
17.9,42,14.0,2025-04-30 21:00:00+00:00
17.0,89,0.0,2025-04-30 22:00:00+00:00
16.2,68,0.0,2025-04-30 23:00:00+00:00
