time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation_probability,cloud_cover,wind_speed_10m,shortwave_radiation
2025-01-29 21:00:00+00:00,6.117,77.0,2.6575508,,98.0,11.879999,0.0
2025-01-29 22:00:00+00:00,5.817,78.0,2.442851,,14.0,11.159999,0.0
2025-01-29 23:00:00+00:00,5.767,78.0,2.4891996,,100.0,10.440001,0.0
2025-01-30 00:00:00+00:00,6.017,77.0,2.1726804,,100.0,14.4,0.0
2025-01-30 01:00:00+00:00,5.9170003,79.0,2.1725507,,100.0,14.04,0.0
2025-01-30 02:00:00+00:00,6.267,78.0,2.8669128,,100.0,11.879999,0.0
2025-01-30 03:00:00+00:00,6.1670003,75.0,2.7030153,,100.0,11.5199995,0.0
2025-01-30 04:00:00+00:00,5.9170003,75.0,2.5682821,,100.0,10.440001,0.0
2025-01-30 05:00:00+00:00,5.967,74.0,2.541749,,100.0,10.799999,0.0
2025-01-30 06:00:00+00:00,5.567,74.0,1.9711838,,99.0,11.5199995,0.0
2025-01-30 07:00:00+00:00,5.767,71.0,2.055316,,0.0,11.879999,39.0
2025-01-30 08:00:00+00:00,7.117,67.0,3.4861774,,0.0,11.879999,153.0
2025-01-30 09:00:00+00:00,9.167,59.0,5.722274,,0.0,10.799999,261.0
2025-01-30 10:00:00+00:00,10.367,57.0,7.4017086,,0.0,8.28,339.0
2025-01-30 11:00:00+00:00,10.917,55.0,8.373928,,0.0,5.3999996,370.0
2025-01-30 12:00:00+00:00,11.617,53.0,9.30728,,0.0,3.96,351.0
2025-01-30 13:00:00+00:00,11.917,51.0,9.455691,,0.0,4.68,285.0
2025-01-30 14:00:00+00:00,11.417,58.0,8.993625,,0.0,6.12,183.0
2025-01-30 15:00:00+00:00,10.367,65.0,7.856491,,4.0,7.5599995,67.0
2025-01-30 16:00:00+00:00,8.816999,70.0,6.5376606,,83.0,5.3999996,1.0
2025-01-30 17:00:00+00:00,7.467,70.0,4.526001,,71.0,8.28,0.0
2025-01-30 18:00:00+00:00,7.217,68.0,3.2176733,,79.0,14.759999,0.0
2025-01-30 19:00:00+00:00,6.6670003,70.0,2.8042688,,100.0,13.679999,0.0
2025-01-30 20:00:00+00:00,6.1670003,72.0,2.131875,,99.0,14.759999,0.0
2025-01-30 21:00:00+00:00,5.517,76.0,1.6084685,,90.0,14.04,0.0
2025-01-30 22:00:00+00:00,5.117,79.0,1.1821761,,80.0,14.4,0.0
2025-01-30 23:00:00+00:00,4.6670003,81.0,0.8217974,,97.0,13.679999,0.0
2025-01-31 00:00:00+00:00,4.367,81.0,0.47194767,,0.0,13.679999,0.0
2025-01-31 01:00:00+00:00,3.917,84.0,0.13821554,,100.0,12.959999,0.0
2025-01-31 02:00:00+00:00,3.867,82.0,0.18140411,,100.0,11.879999,0.0
2025-01-31 03:00:00+00:00,4.267,76.0,0.47399044,,100.0,11.879999,0.0
2025-01-31 04:00:00+00:00,4.317,73.0,0.6549473,,21.0,10.440001,0.0
2025-01-31 05:00:00+00:00,4.1670003,73.0,0.32536316,,35.0,11.5199995,0.0
2025-01-31 06:00:00+00:00,4.117,73.0,0.21554661,,78.0,11.879999,0.0
2025-01-31 07:00:00+00:00,5.067,69.0,1.1866245,,100.0,11.879999,23.0
2025-01-31 08:00:00+00:00,6.617,65.0,2.7865143,,100.0,12.24,108.0
2025-01-31 09:00:00+00:00,6.317,73.0,2.6547198,,100.0,12.599999,38.0
2025-01-31 10:00:00+00:00,6.617,81.0,3.0666642,,100.0,14.04,52.0
2025-01-31 11:00:00+00:00,7.367,78.0,4.0120068,,100.0,12.959999,69.0
2025-01-31 12:00:00+00:00,8.316999,74.0,5.3107405,,98.0,10.799999,94.0
2025-01-31 13:00:00+00:00,10.167,74.0,7.377084,,7.0,11.879999,228.0
2025-01-31 14:00:00+00:00,10.066999,80.0,7.985447,,30.0,8.64,181.0
2025-01-31 15:00:00+00:00,9.117,83.0,7.10176,,100.0,7.5599995,64.0
2025-01-31 16:00:00+00:00,8.066999,82.0,5.5754004,,2.0,9.0,0.0
2025-01-31 17:00:00+00:00,7.1670003,80.0,3.4771037,,2.0,15.4800005,0.0
2025-01-31 18:00:00+00:00,6.117,83.0,2.1716518,,64.0,16.56,0.0
2025-01-31 19:00:00+00:00,5.317,83.0,0.5950146,,100.0,20.880001,0.0
2025-01-31 20:00:00+00:00,4.117,80.0,-0.31990075,,100.0,16.919998,0.0
2025-01-31 21:00:00+00:00,3.667,82.0,-0.15571165,,100.0,12.599999,0.0
2025-01-31 22:00:00+00:00,3.3170002,86.0,-0.34818077,,100.0,11.879999,0.0
2025-01-31 23:00:00+00:00,3.0670002,84.0,-0.6917496,,100.0,11.879999,0.0
2025-02-01 00:00:00+00:00,2.617,86.0,-1.055342,,100.0,11.159999,0.0
2025-02-01 01:00:00+00:00,2.217,84.0,-1.5671017,,100.0,11.159999,0.0
2025-02-01 02:00:00+00:00,1.817,83.0,-2.102793,,94.0,11.5199995,0.0
2025-02-01 03:00:00+00:00,1.217,84.0,-2.5542808,,100.0,10.08,0.0
2025-02-01 04:00:00+00:00,1.467,88.0,-2.4894876,,100.0,12.24,0.0
2025-02-01 05:00:00+00:00,1.467,85.0,-2.612846,,100.0,12.599999,0.0
2025-02-01 06:00:00+00:00,0.967,87.0,-3.3481848,,100.0,14.04,0.0
2025-02-01 07:00:00+00:00,0.917,85.0,-2.9782228,,2.0,10.799999,43.0
2025-02-01 08:00:00+00:00,1.217,86.0,-2.927883,,100.0,12.959999,121.0
2025-02-01 09:00:00+00:00,1.867,83.0,-2.3080897,,100.0,13.32,147.0
2025-02-01 10:00:00+00:00,2.0670002,81.0,-2.2333589,,100.0,14.04,125.0
2025-02-01 11:00:00+00:00,2.2670002,79.0,-1.687177,,100.0,11.5199995,132.0
2025-02-01 12:00:00+00:00,2.117,80.0,-2.0959616,,99.0,13.32,114.0
2025-02-01 13:00:00+00:00,2.0670002,73.0,-2.273107,,100.0,12.959999,121.0
2025-02-01 14:00:00+00:00,2.117,74.0,-2.0344267,,97.0,11.879999,101.0
2025-02-01 15:00:00+00:00,1.767,78.0,-2.2806385,,69.0,11.5199995,44.0
2025-02-01 16:00:00+00:00,1.567,82.0,-2.4647603,,100.0,11.879999,2.0
2025-02-01 17:00:00+00:00,1.367,83.0,-2.6166093,,100.0,11.5199995,0.0
2025-02-01 18:00:00+00:00,1.1669999,86.0,-2.512546,,100.0,9.72,0.0
2025-02-01 19:00:00+00:00,1.117,85.0,-2.3302183,,100.0,7.92,0.0
2025-02-01 20:00:00+00:00,1.1669999,83.0,-2.7393932,,100.0,10.799999,0.0
2025-02-01 21:00:00+00:00,1.017,87.0,-2.5560303,,100.0,9.0,0.0
2025-02-01 22:00:00+00:00,1.117,85.0,-2.4352183,,100.0,8.64,0.0
2025-02-01 23:00:00+00:00,0.917,87.0,-2.6703162,,100.0,9.0,0.0
